"regular_unique_genes"	"regular_unique_transcripts"	"mt.content.x"	"mt_unique_genes"	"mt_unique_transcripts"	"mt.content.y"	"rep"	"x"	"y"	"new_x"	"new_y"	"pixel_x"	"pixel_y"	"selected"	"selected_mt"	"added_in_old"	"added_in_new"	"diff_spots"	"combined_selection"	"sample_id"
"10x13x32"	NA	NA	NA	NA	NA	NA	"10"	13	32	12.94	32.03	4294.5	7601.3	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x33"	NA	NA	NA	NA	NA	NA	"10"	13	33	12.9	33	4286.5	7812.3	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x34"	NA	NA	NA	NA	NA	NA	"10"	13	34	13.05	33.98	4317.9	8027.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x35"	NA	NA	NA	NA	NA	NA	"10"	13	35	12.96	35.01	4299.5	8251.7	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x13x4"	2261	4836	0	2763	6553	0.0677552266137647	"10"	13	4	12.87	3.99	4280	1473.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x5"	3049	7386	0	3715	9919	0.0532311724972275	"10"	13	5	12.93	4.98	4292.1	1689.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x6"	2352	5641	0	2859	7458	0.0481362295521588	"10"	13	6	12.93	5.95	4292.4	1900.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x7"	2402	5719	0	2898	7742	0.0650994575045208	"10"	13	7	12.97	7.02	4302	2134.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x8"	2145	5013	0	2638	6915	0.0681127982646421	"10"	13	8	13.01	7.95	4309.3	2338.2	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x13x9"	2308	5719	0	2777	7781	0.0749261020434391	"10"	13	9	13.12	8.98	4333.4	2563	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x1"	NA	NA	NA	NA	NA	NA	"10"	14	1	14.01	1.01	4527.3	822.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x10"	1934	5032	0	2352	6338	0.035500157778479	"10"	14	10	13.95	9.97	4515.3	2779.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x11"	2296	5337	0	2816	7426	0.0639644492324266	"10"	14	11	13.97	10.93	4518.7	2989.7	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x12"	2088	4802	0	2508	6394	0.0552080075070378	"10"	14	12	13.98	11.93	4521.2	3209.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x13"	1887	4431	0	2346	6022	0.0496512786449684	"10"	14	13	13.98	12.91	4521.2	3423.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x14"	2171	5023	0	2705	6810	0.0424375917767988	"10"	14	14	13.98	13.93	4521.2	3644.7	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x15"	2356	4792	0	2866	6358	0.0349166404529726	"10"	14	15	13.98	14.95	4521.2	3867.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x16"	2514	5065	0	3062	6698	0.0268736936398925	"10"	14	16	13.98	15.95	4521.2	4087.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x17"	1947	3640	0	2346	4733	0.0257764631312064	"10"	14	17	13.98	16.99	4521.2	4315.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x18"	2412	6425	0	2923	8120	0.0231527093596059	"10"	14	18	14.07	17.97	4540.1	4527.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x19"	1547	4269	0	1880	5223	0.0281447443997702	"10"	14	19	13.95	18.97	4514.8	4746.9	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x2"	2210	4709	0	2618	5921	0.0442492822158419	"10"	14	2	13.98	1.97	4521.2	1032	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x20"	1565	2827	0	1864	3630	0.0275482093663912	"10"	14	20	14.11	20	4549.5	4973.2	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x21"	2060	3850	0	2418	4938	0.0419198055893074	"10"	14	21	14.02	20.98	4528.8	5185.4	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x14x22"	NA	NA	NA	NA	NA	NA	"10"	14	22	14.01	22.01	4528.2	5412.3	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x23"	NA	NA	NA	NA	NA	NA	"10"	14	23	14.02	22.99	4529.6	5625.8	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x24"	NA	NA	NA	NA	NA	NA	"10"	14	24	14.04	24.1	4534.4	5867.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x25"	NA	NA	NA	NA	NA	NA	"10"	14	25	13.94	24.92	4512.1	6047.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x26"	NA	NA	NA	NA	NA	NA	"10"	14	26	13.89	25.99	4501.8	6281.7	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x27"	NA	NA	NA	NA	NA	NA	"10"	14	27	13.98	26.98	4521.1	6496.7	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x28"	NA	NA	NA	NA	NA	NA	"10"	14	28	13.92	28.07	4509	6736.5	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x14x29"	NA	NA	NA	NA	NA	NA	"10"	14	29	14.04	28.93	4534.9	6923.8	0	0	0	0	"0"	0	"E2_1000L2_CN74"
