	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X17x13	0.03602144	0.15989879	0.039055057	0.054137595	0.014531977	6.8799038e-12	0.022272548	6.8454526e-12	0.006245672	0.11401007	6.8825813e-12	0.030921988	0.3031044	0.016174234	0.20362622
X17x14	0.028943028	0.22709031	0.048406985	0.03451729	0.024691604	5.0858645e-12	0.024509095	0.032010198	5.084962e-12	0.028170167	0.018668013	0.06049112	0.22799239	0.016194535	0.22831532
X17x15	0.0033456448	0.17154506	0.055984102	0.0015046076	0.002146085	0.008404243	0.051789626	8.251303e-12	0.021428172	0.027060702	0.016433509	0.05390531	0.2626049	0.054180335	0.26966769
X17x16	0.0074589276	0.16376638	0.07225355	0.034954373	0.015728198	0.04122499	0.059749514	7.101182e-12	0.013745386	0.031935234	7.114495e-12	0.039406653	0.2984965	0.026198717	0.19508146
X17x17	0.076132715	0.085920215	0.102004215	0.020616177	0.012553819	0.030756552	5.5634104e-12	5.554133e-12	5.6043286e-12	0.08454546	0.02161252	0.05441289	0.25192985	0.0072046826	0.25231084
X17x18	0.044874944	0.07347339	0.061991923	0.051805176	0.010480291	5.354404e-11	4.8240604e-12	0.019095182	0.026530437	0.1233577	0.050143387	0.03913231	0.21860667	0.061860383	0.21864824
X17x19	5.9224227e-12	0.05534664	0.05548985	0.120950334	0.033758074	5.1063936e-10	0.0449525	5.8977922e-12	0.044180777	0.030691708	0.04738635	0.08035984	0.2344058	0.06902611	0.18345204
X17x20	5.6808868e-12	0.032005183	0.0959341	0.031365726	0.03409815	0.08853417	5.6406143e-12	5.643154e-12	0.23837632	0.032989584	5.6799986e-12	0.05325876	0.11000981	0.14612818	0.1373
X17x21	0.024956582	0.032421358	0.12937346	0.045144327	0.032618918	0.15144855	3.8504764e-12	3.8451477e-12	0.17371422	0.038798098	0.10727637	0.020803358	0.043173056	0.16970323	0.030568441
X17x22	0.045448083	0.07100218	0.06664946	0.11570946	0.043693926	0.20566456	0.015485281	4.754701e-12	0.024048049	0.05019783	0.056450676	0.06894949	0.12343212	0.0639554	0.049313527
X17x24	0.015799683	0.082492344	0.05836064	0.0544254	0.066668	0.16574243	6.0113164e-12	6.0311387e-12	0.022369495	0.11014053	0.051655926	0.040414233	0.055770613	0.27268597	0.0034746658
X17x25	0.014446383	0.08752101	0.047241554	0.04695197	0.08895584	0.17058785	6.3417097e-12	6.3163233e-12	0.01107362	0.052749813	0.0057195234	0.14207232	0.040731505	0.28623518	0.005713405
X18x10	0.013806843	0.05707876	0.029523762	0.076663665	0.06475204	0.08687176	0.013638711	5.5246138e-12	5.5664254e-12	0.06464387	0.064586	0.05822201	0.24964517	0.0322637	0.18830377
X18x11	0.020074122	0.1613651	0.021104058	0.054269128	0.009287643	8.6226234e-12	0.041229077	8.573033e-12	0.011231993	0.0737303	8.610035e-12	0.043666564	0.3202304	0.029828338	0.21398331
X18x12	0.02089327	0.22471027	0.04318299	0.04263748	0.027357934	8.743328e-12	0.056222063	0.027059805	0.019087486	0.06339842	8.718184e-12	8.729098e-12	0.26295736	0.00825369	0.2042392
X18x13	0.014680999	0.2817248	7.413381e-12	0.03573543	0.0021835074	7.452438e-12	0.036637515	7.428908e-12	0.04504428	0.06513774	7.450165e-12	0.06550435	0.21725863	7.45295e-12	0.23609267
X18x14	0.057952628	0.16111682	0.031707104	0.025874602	0.03594254	0.0032940642	0.014321287	5.007139e-12	0.0112298345	0.07749295	0.00952445	0.083302185	0.22535531	0.036849536	0.22603673
X18x15	0.021394717	0.110462755	0.048258223	0.04314092	0.019046536	1.408413e-11	0.035684958	0.012730686	0.024080293	0.05687706	7.1881828e-12	0.032112207	0.3222227	0.0064191283	0.2675698
X18x16	0.036568083	0.13096787	0.05578786	0.036100212	6.2651442e-12	0.0060191248	0.062299304	6.2532414e-12	0.011552794	0.07631851	0.020075928	0.023122301	0.2818545	0.0313608	0.22797263
X18x17	0.11620096	0.0028354027	0.13125488	0.041565116	0.023189982	5.2952694e-12	0.015284615	0.015236269	0.038807154	0.023938214	0.03941531	0.046336696	0.23861547	0.028605428	0.23871446
X18x18	0.11468744	0.022906985	0.07078091	0.081317335	0.031275105	0.024712097	0.054065913	4.1456448e-12	0.010332456	0.098680034	0.0439866	0.04025932	0.18802102	0.030791426	0.18818338
X18x19	0.028843818	8.5632204e-12	0.085852005	0.091476314	0.04622127	0.09663161	0.03829887	8.529023e-12	0.044491198	0.0786941	0.031854667	0.097043805	0.18296285	0.0018807581	0.17574875
X18x20	0.03555695	0.034048337	0.12428887	0.057477582	0.025045354	0.15338415	0.014680085	0.004001731	0.10667387	0.06299362	0.0076567647	0.06642503	0.11453928	0.06710238	0.12612598
X18x21	0.0020998337	0.05058505	0.061104808	0.03674742	0.05023422	0.18972936	4.2181675e-12	0.002627085	0.1902129	0.041664504	0.0747621	0.057190727	0.04319577	0.19043967	0.00940653
X18x22	0.007180067	0.041197862	0.06942567	0.17025024	0.01970845	0.19469392	4.8862568e-12	4.859758e-12	0.06395112	0.063482635	0.034805235	0.0872331	4.8978174e-12	0.21763216	0.030439628
X18x23	0.004497758	7.0211805e-12	0.046659723	0.07594761	0.034184743	0.24618898	6.9884476e-12	6.955946e-12	0.04645929	0.06594481	0.027748931	0.08858078	0.032288812	0.3138061	0.017692482
X18x24	0.0036188744	0.1257824	0.03319637	0.053267073	0.0331272	0.036715765	0.15217747	0.13213466	0.01636359	0.13572733	0.03215829	0.051195744	0.043411665	0.1459918	0.0051317415
X18x25	0.004188582	0.102214165	0.05727385	0.07393007	0.033699244	3.9567763e-12	0.17868157	0.17857344	0.017627986	0.06299923	3.953442e-12	0.09256034	0.044213597	0.15403782	3.9356188e-12
X18x26	0.018264472	0.052217424	0.09042632	0.049565364	0.03959682	0.12720932	7.515917e-12	7.477638e-12	0.03854445	0.018067392	0.03670833	0.1374578	0.05249749	0.32161254	0.017832251
X19x10	0.0050004097	0.01459881	0.026862409	0.20692037	0.104386516	0.06387674	0.047609076	5.0805965e-12	0.02250755	0.11058494	0.013171753	0.055060368	0.1983019	0.02913394	0.101985164
X19x11	0.04453587	0.1052659	0.047903437	0.04478688	0.0053386814	0.081578895	0.02144701	7.325181e-12	0.0061408496	0.06593264	0.05332069	0.05112106	0.2557504	0.017089609	0.19978806
X19x12	0.020319065	0.20582807	0.06315459	0.031778235	0.012114041	0.03778176	5.97999e-12	5.9693574e-12	0.0116703	0.071242645	0.00955453	0.031061724	0.25465843	6.0036234e-12	0.25083664
X19x13	0.052374497	0.19368659	0.05667043	0.044720106	0.02239954	0.009955963	0.055327423	0.0141706085	0.019021112	0.04209435	5.090169e-12	0.020787822	0.22792001	0.022213224	0.21865831
X19x14	0.021217847	0.17005515	0.043318655	0.056346104	7.792131e-12	0.030109111	0.05467044	0.014193072	7.796412e-12	0.055986617	0.016255086	7.79973e-12	0.25465488	0.020355152	0.2628379
