	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X24x6	0.014772749	0.027719926	0.07835996	0.024117144	6.624249e-12	0.025249893	0.30064076	0.30061015	6.650112e-12	6.6101755e-12	0.00831341	0.12518361	6.6424934e-12	0.06632052	0.028711973
X24x7	0.113799535	0.027815893	0.045289263	0.022164071	0.006997937	0.016097661	0.2710024	0.27082542	0.012459822	5.987022e-12	0.0054962584	0.0688345	5.93641e-12	0.077896886	0.06132045
X24x8	0.012212683	0.01672136	0.107710436	0.019464461	0.00902969	0.016321644	0.26450393	0.26447368	0.025961518	5.8329877e-12	5.8220173e-12	0.15502797	0.033436786	0.061672222	0.013463603
X24x9	0.15154439	0.0600636	0.05269549	1.12536e-11	0.0141565455	0.046918217	0.11840536	0.13480571	1.1264314e-11	0.008434636	0.016465569	0.020068038	0.06929299	0.07649771	0.23065168
X25x10	0.025129205	0.018712465	0.038527433	0.010732303	0.004512438	0.023858028	0.25533706	0.37162814	0.011856209	8.2723455e-12	0.005902043	0.033645984	0.034215413	0.062328428	0.10361484
X25x11	0.010632891	7.617045e-12	0.07214028	0.01858431	0.003902852	0.020685915	0.3452048	0.34509134	0.004160938	7.6037345e-12	0.0134348655	0.10932444	0.015198615	0.031062417	0.010576428
X25x12	0.024812078	0.0065324083	0.07523526	0.007216494	6.2314997e-12	0.052673277	0.18188187	0.2797737	0.08492554	0.04380937	0.007496511	0.0442216	0.0368624	0.07938318	0.075176276
X25x13	0.008306919	0.08736533	0.105615094	0.029159527	0.005147726	0.07279958	0.23936585	0.18485399	0.19563723	8.089703e-12	8.109679e-12	0.032749634	8.0456475e-12	0.03899911	8.04462e-12
X25x14	0.040913317	0.02994056	1.4453678e-11	0.0681114	0.01577588	0.1986658	1.4546271e-11	0.013191464	0.18626358	0.06903224	0.009928576	0.04776395	1.4485611e-11	0.30325952	0.017153798
X25x15	1.1732779e-11	0.015810577	0.06500427	0.046960965	0.04055277	0.22075279	0.05068271	0.02252616	0.02337414	0.04783328	0.018102614	0.12485504	0.004916736	0.2783152	0.040312797
X25x2	0.10550256	0.029556472	2.273819e-11	0.07007943	0.035327986	0.12385488	0.034647025	2.2665921e-11	2.2769394e-11	2.2660863e-11	0.015697973	0.045754105	0.15437566	0.06942417	0.31577975
X25x3	0.0723372	0.23998202	2.1924546e-11	0.026244126	0.011200153	2.2019301e-11	0.05504145	2.1835696e-11	2.2017032e-11	0.10037849	2.2018502e-11	0.06018793	0.113131404	0.03581675	0.2856804
X25x4	0.04519455	0.2480971	1.3778279e-11	0.056391124	0.017188806	0.016966488	0.04846611	0.035244405	0.011819818	0.04346622	0.020196531	0.061598953	0.124887004	0.081164084	0.18931875
X25x5	0.14133513	0.054400705	1.505591e-11	0.031151727	1.5104865e-11	0.033965245	0.082952365	0.06452494	0.0871886	1.5076974e-11	1.5015416e-11	0.014694233	0.13345495	0.09245282	0.26387924
