	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X13x18	0.1968483	0.01992315	0.06194067	0.094414584	0.054108325	0.19529818	0.01356674	2.5278515e-11	2.5479011e-11	2.5305725e-11	0.055961695	0.09436926	0.13064542	0.082923725	2.5373918e-11
X13x19	0.023811776	0.06880484	2.171668e-11	0.11253969	2.1750508e-11	0.19980372	0.024570161	2.1763827e-11	0.033616483	2.1707199e-11	2.181915e-11	0.084376544	0.058328878	0.35618758	0.037960216
X13x2	0.05607547	0.055519342	1.1510579e-11	0.022679478	0.041264385	1.1567625e-11	0.012589812	1.1512445e-11	0.013459208	0.095303014	0.01915635	0.11675013	0.16120987	0.11258313	0.29340976
X13x20	0.07664455	0.04630211	1.3567124e-11	0.10901433	1.3589551e-11	0.17514318	1.353843e-11	1.3600494e-11	0.063532285	1.364326e-11	1.3645395e-11	0.10076814	1.35181475e-11	0.41230592	0.016289486
X13x3	0.036510643	1.18791565e-11	1.1869327e-11	0.059349716	1.1881536e-11	0.067077145	0.013020784	1.1796337e-11	0.030418083	0.11471783	0.020983694	0.089021	1.1876438e-11	0.055407263	0.51349384
X13x4	0.059254233	0.05261917	0.10760519	0.02368098	1.0102564e-11	0.026013179	1.0067459e-11	1.0029931e-11	0.034650072	0.03743814	0.04404864	0.026495758	0.20686105	0.03467322	0.34666044
X13x5	0.11053682	0.15551299	0.05832003	0.01679603	6.455294e-12	0.007670672	0.014968766	0.017545084	0.01929991	0.07361143	0.024067957	0.05415364	0.12295703	0.05822417	0.2663355
X13x6	0.045519467	0.25666457	8.341699e-12	0.027913947	0.012200143	8.389103e-12	0.09549936	0.032855388	0.028110448	8.37334e-12	0.029029433	0.04012055	0.1515374	0.06967477	0.2108745
X13x7	0.11171143	0.16936004	0.04413938	0.0041712793	0.0050990293	8.662422e-12	0.033360165	8.611436e-12	8.662274e-12	0.01603139	8.6601264e-12	0.010010811	0.2795416	0.07818306	0.24839182
X13x8	0.06378366	0.14075406	0.029978536	9.276736e-12	0.013936578	9.232906e-12	0.096258335	0.04109648	0.008396142	0.04295627	0.008112743	0.03969825	0.23653893	0.03941436	0.23907568
X13x9	0.08830323	0.11947187	8.898453e-12	0.01979059	0.015947046	8.897096e-12	0.013395041	0.015668035	0.01630017	0.026188115	8.919269e-12	0.03588809	0.3283611	0.0546186	0.2660682
